#states step:0
#current participants:
task4	TaskState.finished	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	1	0.00948986356769	
#total reward:-0.134078246964

#states step:9
#current participants:
0	ParticipantState.available	NULL	[-73.97405972042657, 40.731928687793484]	[-73.97405972042657, 40.731928687793484]	[-74.0103, 40.7237]	0.0371627389513	0.0	
1	ParticipantState.working	task2	[-73.98402404785156, 40.75751876831055]	[-73.91075538061448, 40.678125659176274]	[-73.98402404785156, 40.75751876831055]	0.0	0.00303500995838	
2	ParticipantState.available	NULL	[-73.98461170213832, 40.76795306547513]	[-73.98461170213832, 40.76795306547513]	[-73.9607, 40.7126]	0.0602970261012	0.0	
3	ParticipantState.working	task8	[-73.9677653976263, 40.77610708778998]	[-73.96871971418278, 40.76113747590757]	[-73.96590423583984, 40.805301666259766]	0.0292538430847	0.015	
4	ParticipantState.working	task5	[-73.92409331647701, 40.72145167589585]	[-73.86804238639249, 40.67161902358172]	[-73.97132873535156, 40.76344680786133]	0.063204239613	0.015	
#current running_schedules: 3
task2	TaskState.picked	1	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	0	0.0562286792325	
task5	TaskState.picking	4	[-73.97132873535156, 40.76344680786133]	[-73.97132873535156, 40.76344680786133]	[-73.96102142333984, 40.777671813964844]	1.0	1.1	8.5	0	0.0175667720299	
task8	TaskState.picking	3	[-73.96590423583984, 40.805301666259766]	[-73.96590423583984, 40.805301666259766]	[-73.96439361572266, 40.77460479736328]	1.0	2.8	14.0	0	0.0307340158975	
#current pending_schedules: 3
task9	TaskState.pending	-1	[-73.97997283935547, 40.74311065673828]	[-73.97997283935547, 40.74311065673828]	[-73.99175262451172, 40.7540283203125]	1.0	1.24	10.5	0	0.0160610932457	
task10	TaskState.pending	-1	[-73.96878051757812, 40.75814437866211]	[-73.96878051757812, 40.75814437866211]	[-73.97794342041016, 40.75959396362305]	1.0	0.68	6.0	0	0.00927685748884	
task11	TaskState.pending	-1	[-73.98159790039062, 40.76357650756836]	[-73.98159790039062, 40.76357650756836]	[-73.98797607421875, 40.7545051574707]	6.0	0.74	7.5	0	0.0110892061923	
#current finished_schedules: 5
task1	TaskState.finished	0	[-73.98402404785156, 40.75751876831055]	[-73.98402404785156, 40.75751876831055]	[-74.01080322265625, 40.70807647705078]	1.0	6.0	26.0	1	0.0562286792325	
task3	TaskState.finished	2	[-73.99237823486328, 40.74361801147461]	[-73.99237823486328, 40.74361801147461]	[-73.97877502441406, 40.76305389404297]	1.0	1.5	9.0	1	0.02372342441	
task4	TaskState.finished	3	[-73.9964599609375, 40.753196716308594]	[-73.9964599609375, 40.753196716308594]	[-74.00567626953125, 40.75093460083008]	1.0	0.71	6.0	1	0.00948986356769	
task6	TaskState.finished	0	[-73.9849624633789, 40.76884841918945]	[-73.9849624633789, 40.76884841918945]	[-73.97740936279297, 40.7492561340332]	1.0	1.8	14.0	1	0.0209977847904	
task7	TaskState.finished	2	[-73.9599609375, 40.77046585083008]	[-73.9599609375, 40.77046585083008]	[-73.96983337402344, 40.7999382019043]	1.0	2.9	13.0	1	0.0310818995679	
#total reward:-0.0108742038476

