VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
2,2016-03-01 09:34:24,2016-03-01 09:57:17,1,2.35,-73.992843627929687,40.768218994140625,1,N,-73.982963562011719,40.745121002197266,1,14.5,0,0.5,1,0,0.3,16.3
2,2016-03-01 09:34:24,2016-03-01 09:47:09,1,1.47,-73.955802917480469,40.764369964599609,1,N,-73.977333068847656,40.760910034179688,2,9.5,0,0.5,0,0,0.3,10.3
1,2016-03-01 09:34:25,2016-03-01 09:40:23,1,.70,-73.97991943359375,40.743160247802734,1,N,-73.986557006835938,40.749217987060547,1,6,0,0.5,0.2,0,0.3,7
1,2016-03-01 09:34:25,2016-03-01 09:39:17,1,.60,-73.968727111816406,40.758739471435547,1,N,-73.968986511230469,40.765979766845703,2,5,0,0.5,0,0,0.3,5.8
1,2016-03-01 09:34:25,2016-03-01 09:34:25,1,.00,-73.990608215332031,40.728641510009766,1,N,0,0,2,2.5,0,0.5,0,0,0.3,3.3
1,2016-03-01 09:34:25,2016-03-01 09:53:36,1,2.60,-73.982330322265625,40.768321990966797,1,N,-73.971847534179687,40.7432861328125,1,13.5,0,0.5,3,0,0.3,17.3
1,2016-03-01 09:34:25,2016-03-01 09:49:48,1,2.40,-73.973503112792969,40.757770538330078,1,N,-73.948387145996094,40.783042907714844,1,12.5,0,0.5,2.65,0,0.3,15.95
1,2016-03-01 09:34:25,2016-03-01 09:47:28,2,1.70,-73.97332763671875,40.755596160888672,1,N,-73.996047973632813,40.753334045410156,1,10,0,0.5,2.7,0,0.3,13.5
2,2016-03-01 09:34:25,2016-03-01 09:41:38,5,.72,-73.999618530273437,40.743640899658203,1,N,-73.989517211914062,40.743961334228516,1,6,0,0.5,1.22,0,0.3,8.02
1,2016-03-01 09:34:26,2016-03-01 09:55:46,1,4.20,-74.01629638671875,40.716175079345703,1,N,-73.98388671875,40.754798889160156,1,17,0,0.5,2.2,0,0.3,20
1,2016-03-01 09:34:26,2016-03-01 09:44:14,1,1.00,-73.993949890136719,40.761669158935547,1,N,-73.979949951171875,40.760330200195312,1,7.5,0,0.5,1.65,0,0.3,9.95
1,2016-03-01 09:34:26,2016-03-01 09:40:30,3,.80,-73.985855102539063,40.762844085693359,1,N,-73.997833251953125,40.765010833740234,2,5.5,0,0.5,0,0,0.3,6.3
1,2016-03-01 09:34:26,2016-03-01 09:57:37,1,3.20,-73.985221862792969,40.763465881347656,1,N,-74.005836486816406,40.725131988525391,1,16,0,0.5,4.2,0,0.3,21
2,2016-03-01 09:34:26,2016-03-01 09:47:29,1,1.45,-74.001487731933594,40.724418640136719,1,N,-73.986968994140625,40.7364501953125,1,9.5,0,0.5,1,0,0.3,11.3
2,2016-03-01 09:34:26,2016-03-01 09:48:08,1,2.55,-73.9534912109375,40.771099090576172,1,N,-73.969734191894531,40.794841766357422,1,11.5,0,0.5,2.46,0,0.3,14.76
2,2016-03-01 09:34:26,2016-03-01 09:57:42,6,1.72,-73.994216918945313,40.750991821289063,1,N,-73.972442626953125,40.756290435791016,1,14.5,0,0.5,3.06,0,0.3,18.36
1,2016-03-01 09:34:27,2016-03-01 09:50:14,1,2.90,-74.000480651855469,40.761745452880859,1,N,-74.006805419921875,40.726470947265625,1,13,0,0.5,2,0,0.3,15.8
1,2016-03-01 09:34:27,2016-03-01 09:44:48,1,1.40,-73.97418212890625,40.783107757568359,1,N,-73.982315063476563,40.763450622558594,1,8.5,0,0.5,0,0,0.3,9.3
1,2016-03-01 09:34:27,2016-03-01 09:48:12,1,1.00,-73.949386596679688,40.780895233154297,1,N,-73.9559326171875,40.769367218017578,1,9.5,0,0.5,1,0,0.3,11.3
2,2016-03-01 09:34:27,2016-03-01 09:56:44,2,1.68,-73.976516723632813,40.749698638916016,1,N,-73.982978820800781,40.765205383300781,1,14,0,0.5,2.96,0,0.3,17.76
2,2016-03-01 09:34:27,2016-03-01 09:41:32,1,.80,-73.98455810546875,40.743110656738281,1,N,-73.985008239746094,40.7518310546875,1,6.5,0,0.5,1,0,0.3,8.3
2,2016-03-01 09:34:27,2016-03-01 09:47:45,6,.96,-73.974235534667969,40.749912261962891,1,N,-73.987098693847656,40.752880096435547,1,9,0,0.5,2.94,0,0.3,12.74
2,2016-03-01 09:34:27,2016-03-01 09:53:30,1,3.17,-73.994026184082031,40.75140380859375,1,N,-74.004623413085938,40.716144561767578,2,14,0,0.5,0,0,0.3,14.8
2,2016-03-01 09:34:27,2016-03-01 09:47:02,2,1.12,-73.985725402832031,40.76873779296875,1,N,-73.995269775390625,40.754814147949219,1,9,0,0.5,2.45,0,0.3,12.25
1,2016-03-01 09:34:28,2016-03-01 09:49:24,1,1.60,-73.996452331542969,40.741981506347656,1,N,-73.978515625,40.752246856689453,2,10.5,0,0.5,0,0,0.3,11.3
1,2016-03-01 09:34:28,2016-03-01 09:50:03,1,2.10,-74.001731872558594,40.750694274902344,1,N,-74.005516052246094,40.726947784423828,1,11.5,0,0.5,1.5,0,0.3,13.8
1,2016-03-01 09:34:28,2016-03-01 09:45:06,1,.60,-73.990753173828125,40.750701904296875,1,N,-73.983917236328125,40.744613647460938,1,8,0,0.5,2,0,0.3,10.8
1,2016-03-01 09:34:28,2016-03-01 09:38:53,1,.40,-73.981498718261719,40.767333984375,1,N,-73.984931945800781,40.759716033935547,1,4.5,0,0.5,1,0,0.3,6.3
2,2016-03-01 09:34:28,2016-03-01 09:51:18,1,2.56,-73.953681945800781,40.770835876464844,1,N,-73.983306884765625,40.760265350341797,2,13,0,0.5,0,0,0.3,13.8
2,2016-03-01 09:34:28,2016-03-01 09:43:50,1,.73,-73.977745056152344,40.777019500732422,1,N,-73.983894348144531,40.773967742919922,1,7.5,0,0.5,1.66,0,0.3,9.96
2,2016-03-01 09:34:28,2016-03-01 09:38:46,1,.42,-73.974678039550781,40.755691528320313,1,N,-73.981086730957031,40.759281158447266,2,4.5,0,0.5,0,0,0.3,5.3
