#states step:0
#current participants:
1	ParticipantState.working	task10	[-73.97385890072822, 40.76333867910285]	[-73.99412981846733, 40.74122330223483]	[-73.96282958984375, 40.77537155151367]	0.0163228587276	0.015	
2	ParticipantState.working	task12	[-73.98365452835219, 40.76218541435325]	[-73.98365452835219, 40.76218541435325]	[-74.00782012939453, 40.73172378540039]	0.0388829925829	0.015	
3	ParticipantState.available	NULL	[-73.97063340128366, 40.74962457054193]	[-73.97063340128366, 40.74962457054193]	[-73.9973, 40.7418]	0.0277908508553	0.0	
4	ParticipantState.working	task11	[-74.00398254394531, 40.72080993652344]	[-74.0003219118762, 40.72487876483133]	[-74.00398254394531, 40.72080993652344]	0.0	0.00547317010009	
#current running_schedules: 4
task12	TaskState.picking	2	[-74.00782012939453, 40.73172378540039]	[-74.00782012939453, 40.73172378540039]	[-73.9954605102539, 40.749298095703125]	6.0	1.43	8.5	0	0.0214852639713	
task9	TaskState.picked	0	[-73.97628784179688, 40.75897979736328]	[-73.97628784179688, 40.75897979736328]	[-73.97701263427734, 40.74684143066406]	1.0	1.15	6.5	0	0.0121599864418	
task10	TaskState.picking	1	[-73.96282958984375, 40.77537155151367]	[-73.96282958984375, 40.77537155151367]	[-73.96505737304688, 40.76310348510742]	1.0	1.0	7.5	0	0.0124686996655	
task11	TaskState.picked	4	[-74.00398254394531, 40.72080993652344]	[-74.00398254394531, 40.72080993652344]	[-73.98056030273438, 40.78667068481445]	1.0	5.67	27.0	0	0.0699016419607	
#current pending_schedules: 1
